Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,5.670000,5.690000,5.440000,5.470000,5.470000,1604400
2023-05-03,5.460000,6.030000,5.420000,5.900000,5.900000,1425300
2023-05-04,5.880000,6.045000,5.850000,5.950000,5.950000,976700
2023-05-05,6.080000,6.180000,5.990000,6.180000,6.180000,1367100
2023-05-08,6.160000,6.480000,5.990000,6.440000,6.440000,1685600
2023-05-09,6.110000,6.200000,5.820000,6.070000,6.070000,2116300
2023-05-10,6.150000,6.180000,5.915000,5.970000,5.970000,1236100
2023-05-11,5.950000,6.015000,5.810000,5.950000,5.950000,725100
2023-05-12,5.920000,6.010000,5.590000,5.720000,5.720000,1540200
2023-05-15,5.740000,5.880000,5.560000,5.800000,5.800000,1001400
2023-05-16,5.750000,5.820000,5.530000,5.730000,5.730000,1448100
2023-05-17,5.150000,5.172000,4.610000,4.660000,4.660000,12975200
2023-05-18,4.260000,4.290000,4.020000,4.160000,4.160000,22492600
2023-05-19,4.040000,4.080000,3.860000,3.960000,3.960000,9908700
2023-05-22,3.945000,4.059000,3.720000,3.920000,3.920000,6542300
2023-05-23,3.900000,4.140000,3.870000,3.890000,3.890000,5509400
2023-05-24,3.890000,3.920000,3.760000,3.880000,3.880000,4247100
2023-05-25,4.020000,4.020000,3.815000,3.860000,3.860000,4618700
2023-05-26,3.830000,3.840000,3.670000,3.700000,3.700000,4947800
2023-05-30,3.820000,4.010000,3.710000,3.990000,3.990000,5439800
2023-05-31,3.900000,3.971000,3.800000,3.960000,3.960000,3181600
2023-06-01,3.960000,4.110000,3.850000,4.010000,4.010000,3118800
2023-06-02,4.060000,4.209000,3.950000,4.030000,4.030000,3240300
2023-06-05,4.085000,4.140000,3.940000,3.960000,3.960000,2786200
2023-06-06,3.950000,4.230000,3.890000,4.170000,4.170000,5029900
2023-06-07,4.200000,4.400000,4.190000,4.360000,4.360000,3865700
2023-06-08,4.332000,4.400000,4.210000,4.350000,4.350000,3027300
2023-06-09,3.930000,4.120000,3.600000,3.840000,3.840000,15677700
2023-06-12,3.780000,3.930000,3.655000,3.820000,3.820000,6592600
2023-06-13,3.870000,4.410000,3.850000,4.320000,4.320000,9101400
2023-06-14,4.290000,4.400000,4.020000,4.140000,4.140000,3778100
2023-06-15,4.120000,4.517000,4.080000,4.400000,4.400000,5084600
2023-06-16,4.520000,4.630000,4.310000,4.390000,4.390000,8836500
2023-06-20,4.300000,4.530000,4.210000,4.280000,4.280000,3684200
2023-06-21,4.240000,4.250000,3.970000,4.040000,4.040000,4388400
2023-06-22,3.990000,4.000000,3.800000,3.850000,3.850000,3433700
2023-06-23,3.800000,3.800000,3.450000,3.680000,3.680000,9449900
2023-06-26,3.710000,3.930000,3.680000,3.930000,3.930000,3708900
2023-06-27,3.940000,3.990000,3.760000,3.860000,3.860000,3603000
2023-06-28,3.860000,4.000000,3.815000,3.950000,3.950000,2602700
2023-06-29,3.950000,4.230000,3.930000,4.130000,4.130000,4604600
2023-06-30,4.130000,4.170000,3.975000,4.000000,4.000000,3465400
2023-07-03,4.070000,4.380000,4.050000,4.250000,4.250000,2732400
2023-07-05,4.220000,4.280000,4.095000,4.190000,4.190000,2752800
2023-07-06,4.130000,4.180000,3.965000,4.170000,4.170000,2558700
2023-07-07,4.160000,4.440000,4.160000,4.230000,4.230000,3155100
2023-07-10,4.220000,4.485000,4.120000,4.450000,4.450000,2951600
2023-07-11,4.480000,4.520000,4.358000,4.410000,4.410000,2209400
2023-07-12,4.540000,4.570000,4.260000,4.290000,4.290000,2543200
2023-07-13,4.300000,4.485000,4.265000,4.340000,4.340000,2432900
